IDENT,Inspection,Maintenance,TimeCost
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.,7.662164772702033
100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,4.0174062629427425
100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,1.5667319866172746
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,3.0203660103645147
100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,8.416727720700544
100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,9.24609175496989
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.,6.276864917332369
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,2.32312954030495
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,1.030234017923426
100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,7.330229230556723
100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,4.181296886866182
100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.,0.375080366469589
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,0.3145088936917595
100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.,6.809873111272066
100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.,2.556922311791677
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.",3.7291306930003287
100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,7.223941607540452
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,6.123510127878106
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,5.729893941592263
100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL",3.192849600281896
100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,0.693863382772999
100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,5.796142596519294
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,4.86297009198624
100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N",0.9646174887155845
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.,8.700730316983513
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.,8.413982889717671
100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",6.821816625395102
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.,9.427259567327367
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,1.7578977624236303
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.,9.019100892622298
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.,1.9991959189577047
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A",9.530198459354567
100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,7.056734280130651
100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,2.66592797175233
100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,1.0632000065286662
100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.,8.983030618833489
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.,7.903143277949177
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.,5.467543988494765
100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.,7.879779477754951
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,2.4048279138934827
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,3.499652553430268
100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,0.9190263636889284
100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",8.486659002017651
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,8.814693484293494
100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.,7.024459129000058
100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",0.8443252988119276
100158,#1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED 1 & 3 ROCKER COVERS.,1.9541592539604946
100159,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,6.640881876721312
100160,"WHILE TAXIING, ENGINE QUIT.",FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,9.054427875914673
100161,"R/H ENG, FWD I/B BAFFLE HAS SMALL CRACK.",STOP DRILLED CRACK.,9.503527087807372
100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE.",TIGHTENED ALL SCREWS FOR ROCKER COVERS.,8.273164044981598
100163,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,3.998839433206851
100164,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,2.0131958384806303
100165,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,INSTALLED R/H ENGINE TO AIRFRAME.,7.164410304302185
100166,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED INSTALLING NACELLE WIRING.,1.928077917957719
100167,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED REINSTALL OF NACELLE WIRING.,5.244348411594744
100168,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & ENGINE CONTROL INSTALLATION.,5.9544407379690165
100169,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.,2.128796602525964
100170,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL.,3.3620726503620046
100171,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"INSTALLED & TIMED MAGNETOS. ROUTED, CONNECTED WIRING &",6.601439764312951
100172,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSY TO A,6.396637187977964
100173,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWAL",3.087694110182906
100174,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL",5.4243101032089145
100175,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL. R,1.1378535526861577
100176,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA",7.233602694526072
100177,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"REMOVED LEFT ENGINE, PROP/MOUNT ASSY.",8.6705086759927
100178,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW,0.7467840393117542
100179,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO,0.5489482944644863
100180,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & CONTROL CABLE ROUTING. CONNECTED COW,7.161769436905102
100181,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO,8.224273478894679
100182,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION",6.635318466883195
100183,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED R/H ENGINE/PROP/MOUNT ASSY. PRESERVED CYLS. PAL,8.897409205347032
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REMOVED ENGINE.,1.6697100557083355
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,5.7861002045369725
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,FIREWALL REPAIRED BY ODEGAARD WINGS. ,6.661814312504127
100187,#2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,3.029850829651596
100188,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,9.655487476218909
100189,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,0.5071585305832138
100190,AFT BAFFLE SCREW LOOSE.,TIGHTENED BAFFLE SCREW.,8.196670131709773
100191,#4 REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,3.6203767161718736
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,1.71711045257686
100193,#3 CYL EXHAUST SEAL LEAKING.,REMOVED & REPLACED SEAL.,0.7306761366887837
100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.,PREPPED AREA & APPLIED SEALANT.,0.07509068776421657
100195,ENGINE BAFFLE BUTTONS WORN.,REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.,4.03991701424673
100196,MISSING SCREW ON #3 ROCKER COVER.,INSTALLED NEW SCREW.,6.986771276654675
100197,#2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,8.721395040104273
100198,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,8.598820667252108
100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA",9.357114651663935
100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,0.9221281338082088
100201,"LACING CORD LOOSE ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",REPLACED BOTH LACINGS.,0.12577137447854825
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,TIGHTENED ALL SCREWS.,4.1308727640914835
100203,#2 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 INTAKE GASKET ON R/H ENGINE.,4.0093868353634
100204,"INTAKES 2, # & 4 LEAKING ON L/H ENGINE.","REMOVED & REPLACED INTAKE GASKET 2, 3 & 4 ON L/H ENGINE",0.2854036833492313
100205,ROCKER COVERS 2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS ON R/H E,0.7418096415900133
100206,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.","REMOVED & REPLACED #3 CYL ASSY. REEMED 1, 2, 4 EXHAUST",4.505162094115764
